# Time-averaged data for fix outW
# TimeStep Number-of-rows
# Row c_grW[1] c_grW[2] c_grW[3] c_grW[4] c_grW[5] c_grW[6] c_grW[7]
20000000 400
284 7.0875 1.01602 98.4409 1.03806 49.474 1.00173 98.66
285 7.1125 1.01705 99.5261 1.03635 50.0257 1.00188 99.7279
286 7.1375 1.01783 100.62 1.03463 50.5805 1.00219 100.804
287 7.1625 1.01866 101.722 1.03272 51.1381 1.00255 101.887
288 7.1875 1.0194 102.833 1.03038 51.6983 1.00273 102.979
289 7.2125 1.01993 103.952 1.02866 52.2615 1.00308 104.078
290 7.2375 1.02054 105.079 1.02651 52.8274 1.00307 105.185
291 7.2625 1.02109 106.215 1.02435 53.3961 1.00341 106.301
292 7.2875 1.02148 107.359 1.02204 53.9673 1.00366 107.424
293 7.3125 1.0218 108.511 1.01978 54.5413 1.00371 108.554
294 7.3375 1.02202 109.672 1.01799 55.1181 1.00419 109.694
295 7.3625 1.02206 110.84 1.01567 55.6976 1.00421 110.841
296 7.3875 1.0223 112.017 1.01358 56.2798 1.00454 111.996
297 7.4125 1.02223 113.202 1.01156 56.8647 1.00463 113.159
298 7.4375 1.02212 114.394 1.00933 57.4524 1.00508 114.33
299 7.4625 1.0219 115.594 1.00806 58.0432 1.00514 115.51
300 7.4875 1.02166 116.802 1.00541 58.6364 1.00532 116.697
301 7.5125 1.02137 118.018 1.0038 59.2327 1.00539 117.893
302 7.5375 1.02075 119.241 1.00243 59.8321 1.00562 119.097
303 7.5625 1.02041 120.472 1.00098 60.4346 1.00559 120.308
304 7.5875 1.01963 121.71 0.999324 61.0401 1.0059 121.529
305 7.6125 1.01917 122.956 0.997994 61.6488 1.00612 122.757
306 7.6375 1.01832 124.209 0.996047 62.2603 1.00618 123.994
307 7.6625 1.01762 125.469 0.994564 62.8749 1.00642 125.239
308 7.6875 1.01677 126.736 0.993497 63.4929 1.00667 126.492
309 7.7125 1.01597 128.011 0.99266 64.1143 1.00686 127.754
310 7.7375 1.01507 129.292 0.991658 64.7392 1.00681 129.024
311 7.7625 1.01396 130.581 0.990624 65.3674 1.00703 130.303
312 7.7875 1.01312 131.877 0.989176 65.9988 1.00711 131.59
313 7.8125 1.01187 133.179 0.989015 66.6341 1.00726 132.885
314 7.8375 1.01071 134.489 0.988565 67.2732 1.00742 134.189
315 7.8625 1.0096 135.805 0.987872 67.916 1.00723 135.501
316 7.8875 1.00839 137.128 0.987666 68.5627 1.00725 136.821
317 7.9125 1.00737 138.459 0.987295 69.2133 1.00726 138.15
318 7.9375 1.00614 139.796 0.987313 69.868 1.00737 139.487
319 7.9625 1.00495 141.139 0.98703 70.5266 1.00716 140.833
320 7.9875 1.00378 142.49 0.986787 71.1892 1.00711 142.187
321 8.0125 1.00267 143.848 0.986691 71.8559 1.00703 143.549
322 8.0375 1.00156 145.212 0.987068 72.527 1.00696 144.919
323 8.0625 1.00048 146.584 0.986915 73.2022 1.00683 146.298
324 8.0875 0.999319 147.963 0.987003 73.8817 1.00674 147.686
325 8.1125 0.998262 149.348 0.987267 74.5655 1.00665 149.082
326 8.1375 0.997215 150.741 0.987939 75.2541 1.00625 150.486
327 8.1625 0.996239 152.141 0.988131 75.947 1.00602 151.898
328 8.1875 0.995221 153.548 0.988402 76.6444 1.00593 153.319
329 8.2125 0.994438 154.962 0.988946 77.3464 1.00548 154.748
330 8.2375 0.993346 156.384 0.989476 78.053 1.00525 156.185
331 8.2625 0.992709 157.813 0.990091 78.7644 1.00479 157.63
332 8.2875 0.992191 159.251 0.990678 79.4806 1.00466 159.084
