# Time-averaged data for fix outC
# TimeStep Number-of-rows
# Row c_grC[1] c_grC[2] c_grC[3] c_grC[4] c_grC[5]
20000000 400
386 9.6375 1.00652 124.269 1.00327 248.577
387 9.6625 1.00145 125.255 1.00531 250.557
388 9.6875 1.00277 126.247 1.00339 252.543
389 9.7125 1.00648 127.248 1.00621 254.545
390 9.7375 1.00852 128.257 1.00514 256.555
391 9.7625 1.00853 129.27 1.00353 258.572
392 9.7875 1.00771 130.288 1.00462 260.602
393 9.8125 1.00087 131.305 1.00307 262.639
394 9.8375 1.00415 132.329 1.00443 264.689
395 9.8625 1.00038 133.356 1.00282 266.746
396 9.8875 1.00558 134.392 1.00457 268.818
397 9.9125 1.00613 135.435 1.00249 270.895
398 9.9375 1.00305 136.479 1.00313 272.984
399 9.9625 0.995958 137.522 1.00462 275.087
400 9.9875 1.00305 138.577 1.00579 277.203
