# Time-averaged data for fix outH
# TimeStep Number-of-rows
# Row c_grH[1] c_grH[2] c_grH[3] c_grH[4] c_grH[5]
20000000 400
353 8.8125 1.0022 96.0496 1.00191 192.074
354 8.8375 1.00255 96.8753 0.999929 193.721
355 8.8625 1.00345 97.7065 0.999558 195.377
356 8.8875 1.00545 98.544 1.00055 197.043
357 8.9125 1.0045 99.3854 1.00291 198.724
358 8.9375 1.00406 100.231 1.00095 200.41
359 8.9625 1.00596 101.083 1.00141 202.106
360 8.9875 1.00545 101.94 1.00357 203.816
361 9.0125 1.00564 102.801 1.00174 205.532
362 9.0375 1.0059 103.668 1.003 207.26
363 9.0625 1.00309 104.536 1.00329 208.998
364 9.0875 1.00414 105.411 1.00258 210.744
365 9.1125 1.00118 106.287 1.00195 212.499
366 9.1375 1.00234 107.17 1.00358 214.266
367 9.1625 1.00244 108.057 1.00377 216.043
368 9.1875 1.00194 108.949 1.00428 217.831
369 9.2125 1.00407 109.848 1.00443 219.629
370 9.2375 1.00406 110.752 1.00247 221.433
371 9.2625 1.00345 111.659 1.00265 223.248
372 9.2875 1.00579 112.574 1.00358 225.073
373 9.3125 1.00317 113.492 1.00247 226.907
374 9.3375 1.00315 114.414 1.00125 228.748
375 9.3625 1.00285 115.341 1.00203 230.601
376 9.3875 1.00256 116.273 1.00171 232.463
377 9.4125 1.00024 117.207 1.00265 234.336
378 9.4375 1.00021 118.147 1.00187 236.218
379 9.4625 1.00022 119.091 1.00192 238.11
380 9.4875 0.998475 120.039 1.00189 240.012
381 9.5125 0.999166 120.992 1.0014 241.923
382 9.5375 0.998195 121.95 1.0013 243.844
383 9.5625 1.00039 122.915 1.00248 245.778
384 9.5875 0.99928 123.883 1.00027 247.717
385 9.6125 1.00077 124.858 1.00181 249.669
386 9.6375 0.999859 125.838 1.00176 251.632
387 9.6625 1.00049 126.823 1.0022 253.605
388 9.6875 0.997433 127.81 1.0002 255.585
389 9.7125 0.998199 128.803 1.00108 257.577
390 9.7375 0.999417 129.802 1.00175 259.58
391 9.7625 0.998157 130.805 1.0017 261.593
392 9.7875 0.995302 131.811 1.0004 263.615
393 9.8125 0.997188 132.823 1.00028 265.646
394 9.8375 0.995133 133.839 1.00072 267.688
395 9.8625 1.00036 134.865 1.00007 269.74
396 9.8875 0.997821 135.894 1.0004 271.803
397 9.9125 0.996727 136.926 0.999178 273.873
398 9.9375 0.994185 137.962 1.0007 275.958
399 9.9625 0.995877 139.004 1.00037 278.052
400 9.9875 0.996725 140.053 1.00024 280.156
